ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR,GlobalID
Sudan,2020-03-16,"1","1","40763",30.00438135,16.04883821,Sudan,,,,,,cf35ddd7-db91-4e07-a408-c9bd2620451c
Australia,2020-03-16,"336","5","40637",134.49097595,-25.73326023,Australia,澳大利亚,Australie,Australia,Австралия,أستراليا,157c257a-5d75-482f-8b0b-c9d66c6afbf8
Honduras,2020-03-16,"2","0","40691",-86.61965899,14.81934813,Honduras,洪都拉斯,Honduras,Honduras,Гондурас,هندوراس,8b6497fd-c80e-4eef-94dd-ca70573824eb
Cyprus,2020-03-16,"33","0","40663",33.21863708,35.04299175,Cyprus,塞浦路斯,Chypre,Chipre,Кипр,قبرص,0a913ec1-a91f-4049-addb-ccd40813d351
The United Kingdom,2020-03-16,"1547","55","40768",-2.90049476,54.1601792,The United Kingdom,大不列颠及北爱尔兰联合王国,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,المملكة المتحدة لبريطانيا العظمى وآيرلندا الشمالية ,b3db9631-80ca-4a50-8ce2-cedecc3c2db4
Oman,2020-03-16,"22","0","40732",56.10981747,20.60208368,Oman,阿曼,Oman,Omán,Оман,عمان,7e976d18-db5b-45f1-8abd-cfa7ac77c7f1
Bulgaria,2020-03-16,"62","2","40649",25.23475756,42.76032141,Bulgaria,保加利亚,Bulgarie,Bulgaria,Болгария,بلغاريا,cd5365e3-1fd6-4817-a07a-d1adb500aaf8
Ireland,2020-03-16,"169","2","40699",-8.1515763,53.17708682,Ireland,爱尔兰,Irlande,Irlanda,Ирландия,آيرلندا,8b98574b-345c-41ca-88e2-d323e8bcc65f
Burkina Faso,2020-03-16,"15","0","40650",-1.73983521,12.27793715,Burkina Faso,布基纳法索,Burkina Faso,Burkina Faso,Буркина-Фасо,بوركينا فاسو,0a941464-9157-4c43-bb42-d56fc0658a30
Gabon,2020-03-16,"1","0","40679",11.79715762,-0.59067797,Gabon,加蓬,Gabon,Gabón,Габон,غابون,48e309e9-0fba-4ba4-a184-d6719543ccd0
Costa Rica,2020-03-16,"35","0","40659",-84.18903867,9.97052135,Costa Rica,哥斯达黎加,Costa Rica,Costa Rica,Коста-Рика,كوستاريكا,d30bed62-1bd8-4efb-9da9-d6f31fc218d9
Latvia,2020-03-16,"34","0","40709",24.92915332,56.85766939,Latvia,拉脱维亚,Lettonie,Letonia,Латвия,لاتفيا,117d7a44-7a6f-4832-9411-d89dca64f683
CHINA,2020-03-16,"81116","3231","40629",103.8934731,36.51870146,China,中国,Chine,China,Китай,الصين,af9cb1cf-638f-4a5c-9e68-e057d8c27a56
